yyyymm,RetEx,signal,signal_RSI,signal_macd
189103,-0.0218810453388229,0,0,1
189104,0.029875783046101303,0,0,1
189105,-0.0076337742320567,0,1,1
189106,-0.0239002012228256,0,1,1
189107,-0.020266819429933202,0,1,0
189108,0.029660313297640097,0,1,1
189109,0.0772311010808627,0,1,1
189110,-0.0037572154594478,0,1,1
189111,-0.0183828724713106,0,1,1
189112,0.0272724228790165,0,1,1
189201,0.0157749341813557,0,1,1
189202,-0.0005476448138499999,0,1,1
189203,0.0082930385307944,0,1,1
189204,-0.0039922968355911,0,1,0
189205,-0.0019714236905108,0,1,0
189206,-0.0072024546984098,0,1,0
189207,-0.0022001821402507,0,1,0
189208,0.01187866513606,0,1,0
189209,-0.0280262479676797,0,1,0
189210,0.016625708044155398,0,1,0
189211,-0.0070103435782196,0,1,0
189212,-0.0144701738394768,0,1,0
189301,0.014745811499086202,0,1,0
189302,-0.0211323898077575,0,1,0
189303,-0.040955131302104306,0,1,0
189304,-0.0038826636415633,0,1,0
189305,-0.093088559350227,0,0,0
189306,-0.0534104957124345,0,0,0
189307,-0.100943735088931,0,0,0
189308,-0.0313850714603441,0,0,0
189309,0.0653288036089151,0,1,1
189310,0.0257475512340121,0,0,1
189311,0.0126838566757459,0,0,1
189312,-0.037351329851063896,0,0,1
189401,-0.022615724710387,0,1,1
189402,0.0118141549307536,0,1,1
189403,0.027804872569087,0,0,1
189404,0.011376621539801499,0,0,1
189405,-0.0390008244058905,0,0,1
189406,-0.015423304706116499,1,0,1
189407,-0.0225906820021657,1,0,0
189408,0.0357420488764914,1,1,1
189409,0.0138130405245414,1,0,1
189410,-0.032926251497298095,1,1,1
189411,-0.001698389411789,1,1,1
189412,-0.010981393017013,1,1,0
189501,-0.0135550548382729,1,1,0
189502,-0.0164285187715288,1,0,0
189503,-0.0025248715527847,1,0,0
189504,0.0403902798258706,1,1,1
189505,0.0532362776646908,1,1,1
189506,0.0179498353429943,1,1,1
189507,0.0024462401646922005,1,1,1
